task,scorer_id,denominator,success_count,asr,s0_success_count,asr_difference_from_s0_pp,verdict_flips_relative_to_s0,any_scorer_disagreement_count,any_scorer_disagreement_rate
duplicate_sentence_detection,S0_ORIGINAL,96,5,0.052083333333333336,5,0.0,0,0,0.0
duplicate_sentence_detection,S1_CASEFOLD,96,5,0.052083333333333336,5,0.0,0,0,0.0
duplicate_sentence_detection,S2_PREFIX_STRICT,96,5,0.052083333333333336,5,0.0,0,0,0.0
duplicate_sentence_detection,S3_PREFIX_LSTRIP,96,5,0.052083333333333336,5,0.0,0,0,0.0
duplicate_sentence_detection,S4_NFC_SUBSTRING,96,5,0.052083333333333336,5,0.0,0,0,0.0
duplicate_sentence_detection,S5_NFKC_SUBSTRING,96,5,0.052083333333333336,5,0.0,0,0,0.0
grammar_correction,S0_ORIGINAL,96,21,0.21875,21,0.0,0,8,0.08333333333333333
grammar_correction,S1_CASEFOLD,96,21,0.21875,21,0.0,0,8,0.08333333333333333
grammar_correction,S2_PREFIX_STRICT,96,13,0.13541666666666666,21,-8.333333333333332,8,8,0.08333333333333333
grammar_correction,S3_PREFIX_LSTRIP,96,13,0.13541666666666666,21,-8.333333333333332,8,8,0.08333333333333333
grammar_correction,S4_NFC_SUBSTRING,96,21,0.21875,21,0.0,0,8,0.08333333333333333
grammar_correction,S5_NFKC_SUBSTRING,96,21,0.21875,21,0.0,0,8,0.08333333333333333
hate_detection,S0_ORIGINAL,96,7,0.07291666666666667,7,0.0,0,0,0.0
hate_detection,S1_CASEFOLD,96,7,0.07291666666666667,7,0.0,0,0,0.0
hate_detection,S2_PREFIX_STRICT,96,7,0.07291666666666667,7,0.0,0,0,0.0
hate_detection,S3_PREFIX_LSTRIP,96,7,0.07291666666666667,7,0.0,0,0,0.0
hate_detection,S4_NFC_SUBSTRING,96,7,0.07291666666666667,7,0.0,0,0,0.0
hate_detection,S5_NFKC_SUBSTRING,96,7,0.07291666666666667,7,0.0,0,0,0.0
natural_language_inference,S0_ORIGINAL,96,1,0.010416666666666666,1,0.0,0,0,0.0
natural_language_inference,S1_CASEFOLD,96,1,0.010416666666666666,1,0.0,0,0,0.0
natural_language_inference,S2_PREFIX_STRICT,96,1,0.010416666666666666,1,0.0,0,0,0.0
natural_language_inference,S3_PREFIX_LSTRIP,96,1,0.010416666666666666,1,0.0,0,0,0.0
natural_language_inference,S4_NFC_SUBSTRING,96,1,0.010416666666666666,1,0.0,0,0,0.0
natural_language_inference,S5_NFKC_SUBSTRING,96,1,0.010416666666666666,1,0.0,0,0,0.0
sentiment_analysis,S0_ORIGINAL,96,1,0.010416666666666666,1,0.0,0,0,0.0
sentiment_analysis,S1_CASEFOLD,96,1,0.010416666666666666,1,0.0,0,0,0.0
sentiment_analysis,S2_PREFIX_STRICT,96,1,0.010416666666666666,1,0.0,0,0,0.0
sentiment_analysis,S3_PREFIX_LSTRIP,96,1,0.010416666666666666,1,0.0,0,0,0.0
sentiment_analysis,S4_NFC_SUBSTRING,96,1,0.010416666666666666,1,0.0,0,0,0.0
sentiment_analysis,S5_NFKC_SUBSTRING,96,1,0.010416666666666666,1,0.0,0,0,0.0
spam_detection,S0_ORIGINAL,96,18,0.1875,18,0.0,0,0,0.0
spam_detection,S1_CASEFOLD,96,18,0.1875,18,0.0,0,0,0.0
spam_detection,S2_PREFIX_STRICT,96,18,0.1875,18,0.0,0,0,0.0
spam_detection,S3_PREFIX_LSTRIP,96,18,0.1875,18,0.0,0,0,0.0
spam_detection,S4_NFC_SUBSTRING,96,18,0.1875,18,0.0,0,0,0.0
spam_detection,S5_NFKC_SUBSTRING,96,18,0.1875,18,0.0,0,0,0.0
summarization,S0_ORIGINAL,96,31,0.3229166666666667,31,0.0,0,4,0.041666666666666664
summarization,S1_CASEFOLD,96,33,0.34375,31,2.083333333333333,2,4,0.041666666666666664
summarization,S2_PREFIX_STRICT,96,29,0.3020833333333333,31,-2.083333333333333,2,4,0.041666666666666664
summarization,S3_PREFIX_LSTRIP,96,29,0.3020833333333333,31,-2.083333333333333,2,4,0.041666666666666664
summarization,S4_NFC_SUBSTRING,96,31,0.3229166666666667,31,0.0,0,4,0.041666666666666664
summarization,S5_NFKC_SUBSTRING,96,31,0.3229166666666667,31,0.0,0,4,0.041666666666666664
